,exit_1,exit_2,exit_3,exit_4,exit_5,exit_6,exit_7,enter_1,enter_2,enter_3,enter_4,enter_5,enter_6
1433,2019-11-20,,,,,,,2020-07-09,,,,,
1434,2019-11-26,,,,,,,2020-07-09,,,,,
1435,2018-09-10,,,,,,,2019-07-10,,,,,
1436,2020-07-10,2019-04-22,2018-04-26,2018-04-26,,,,2020-07-10,2020-03-11,2019-04-08,2018-05-08,,
1437,2018-01-29,,,,,,,2018-07-11,,,,,
1438,2018-05-10,,,,,,,2018-07-11,,,,,
1439,2018-05-23,,,,,,,2018-07-11,,,,,
1440,2018-02-05,,,,,,,2019-07-11,,,,,
1441,2019-03-18,2018-11-27,,,,,,2019-07-11,2018-12-03,,,,
1442,2018-05-29,,,,,,,2018-07-12,,,,,
1443,2019-03-14,,,,,,,2019-07-12,,,,,
1444,2019-07-02,,,,,,,2019-07-12,,,,,
1445,2018-10-22,,,,,,,2019-07-12,,,,,
1446,2018-03-22,,,,,,,2018-07-13,,,,,
1447,2018-04-23,2018-04-23,,,,,,2018-07-13,2018-05-08,,,,
1448,2017-12-19,,,,,,,2018-07-13,,,,,
1449,2019-01-23,,,,,,,2020-07-13,,,,,
1450,2020-01-31,,,,,,,2020-07-13,,,,,
1451,2020-03-24,,,,,,,2020-07-13,,,,,
1452,2020-01-30,,,,,,,2020-07-14,,,,,
1453,2020-06-15,2018-11-15,,,,,,2020-07-14,2019-04-03,,,,
1454,2019-01-09,,,,,,,2020-07-15,,,,,
1455,2020-07-13,,,,,,,2020-07-15,,,,,
1456,2018-06-26,,,,,,,2018-07-16,,,,,
1457,2019-03-25,2019-01-28,,,,,,2019-07-16,2019-03-18,,,,
1458,2018-07-30,2018-03-01,,,,,,2019-07-16,2018-04-18,,,,
1459,2019-12-02,2018-10-23,2018-09-12,,,,,2020-07-16,2019-02-25,2018-09-13,,,
1460,2018-05-17,,,,,,,2018-07-17,,,,,
1461,2017-10-17,,,,,,,2018-07-17,,,,,
1462,2019-03-30,,,,,,,2019-07-17,,,,,
1463,2019-06-10,2019-03-28,2018-08-23,,,,,2019-07-17,2019-05-01,2018-10-12,,,
1464,2019-06-26,,,,,,,2019-07-17,,,,,
1465,2017-10-26,,,,,,,2019-07-17,,,,,
1466,2020-07-17,,,,,,,2020-07-17,,,,,
1467,2018-01-22,,,,,,,2018-07-18,,,,,
1468,2019-06-05,,,,,,,2019-07-18,,,,,
1469,2019-07-08,,,,,,,2019-07-18,,,,,
1470,2018-07-10,,,,,,,2019-07-18,,,,,
1473,2020-01-19,2019-09-09,,,,,,2020-07-21,2019-09-25,,,,
1474,2020-06-05,,,,,,,2020-07-21,,,,,
1475,2018-07-02,,,,,,,2020-07-21,,,,,
1476,2020-07-20,2017-11-17,,,,,,2020-07-21,2018-03-05,,,,
1477,2018-11-07,,,,,,,2020-07-21,,,,,
